associated_entity,field_name
project,activity_type
registry,previous_project_crediting_program_name
registry,current_project_issuance_registry
cobenefits,sdgs_the_project_plans_to_contribute_to
cobenefits,cobenefits_type
cobenefits,unit_type
cobenefits,unit_symbol
cobenefits,unit_monitoring_frequency
co-benefits,cobenefits_type
co-benefits,change_type
project,financing_options
agreement,agreement_type
project_stakeholder,agreement_counterparty_sector
project_stakeholder,agreement_counterparty_role
agreement,agreement_insurance_coverage_type
project,community_benefit_mechanism_type
agreement,agreement_currency
agreement,collateral_type
agreement,project_financing_stage
agreement,funding_source_category
agreement,funding_commitment_status
